Date,Open,High,Low,Close,Adj Close,Volume
26-12-2012,411,417.950012,411,414.125,372.102448,2662436
27-12-2012,415.149994,416,407.549988,408.850006,367.362701,7361232
28-12-2012,411.75,423,410.774994,420.125,377.493622,6652046
31-12-2012,420.149994,424.899994,418.399994,419.774994,377.179108,4448574
01-01-2013,422,423.299988,419.549988,420.350006,377.69574,3123064
02-01-2013,422,428,421.274994,423.975006,380.953003,6145184
03-01-2013,424.299988,431,422.299988,430.375,386.703522,7893804
04-01-2013,430.950012,432.299988,426.774994,430.924988,387.197693,6083228
07-01-2013,432.850006,435.5,425.899994,428.299988,384.83902,6997928
08-01-2013,427.549988,429.049988,423.950012,425.325012,382.165985,6388350
09-01-2013,426.200012,429.924988,424.325012,426.350006,383.086975,7804664
10-01-2013,428.875,429.475006,423.5,425.024994,381.896393,4224132
11-01-2013,426.25,426.5,418.125,419.950012,377.336395,3680324
14-01-2013,420.5,426.5,419.5,423.774994,380.773193,3228000
15-01-2013,423.075012,425.899994,419,423.575012,380.593567,4748974
16-01-2013,423.024994,435.450012,423.024994,430.674988,386.973053,8938176
17-01-2013,431.049988,446.774994,429.875,445,399.844482,10111394
18-01-2013,447.5,451.475006,442.825012,450.100006,404.426971,10402690
21-01-2013,469.049988,477.5,459.024994,459.975006,413.299927,20095820
22-01-2013,460,465.350006,457.774994,460.024994,413.344818,8532742
23-01-2013,461.049988,464.399994,458.100006,461.524994,414.692596,5349738
24-01-2013,462.5,464.174988,453.5,457.774994,411.323151,6143424
25-01-2013,458.125,458.674988,452.549988,456.100006,409.818146,6440778
28-01-2013,455.674988,456.575012,447.5,448.774994,403.236389,6126478
29-01-2013,447.5,451,440.049988,441.424988,396.632202,7058376
30-01-2013,443.75,451.700012,443.75,449.700012,404.067566,8065298
31-01-2013,448.325012,449,441.549988,443.325012,398.339447,7650034
01-02-2013,445.674988,449.899994,441.799988,447,401.641571,3727194
04-02-2013,448.024994,450.5,442.049988,443.350006,398.361877,6261828
05-02-2013,442,442.950012,436.5,437.375,392.993164,4438368
06-02-2013,440.225006,441.450012,435.399994,437.825012,393.397552,4515208
07-02-2013,435.799988,441,434.174988,436.450012,392.162079,3905376
08-02-2013,434.975006,437,428.5,431.774994,387.961487,4381582
11-02-2013,432.5,437.5,430.299988,434.200012,390.140381,3808148
12-02-2013,434.299988,440.174988,432.600006,437.725006,393.307678,4447636
13-02-2013,442,444,436.25,439.5,394.902557,4815440
14-02-2013,440,441.725006,425.5,428.024994,384.59198,5616264
15-02-2013,427.450012,428.700012,417.049988,422.899994,379.987,6578862
18-02-2013,424,427.299988,421.600006,423.75,380.750763,2427586
19-02-2013,424.5,427.5,417.125,424.200012,381.15509,4424008
20-02-2013,428.975006,439.424988,428.299988,437.399994,393.015594,6799548
21-02-2013,434.5,438.399994,426.825012,429.600006,386.007141,7412738
22-02-2013,429.25,436,429,431.299988,387.534637,4446082
25-02-2013,432,432.475006,425.5,427.174988,383.828217,4516112
26-02-2013,424.850006,424.850006,409.375,411.75,369.968445,6160278
27-02-2013,415,420.475006,413.575012,415.649994,373.472656,8096026
28-02-2013,418.600006,419.774994,402.875,406.924988,365.633026,12648810
01-03-2013,408,409.25,402.75,405.200012,364.08313,6357670
04-03-2013,404.450012,409.125,402.450012,406.299988,365.071442,6833726
05-03-2013,409.549988,417.225006,409.549988,413.174988,371.24884,6016022
06-03-2013,415.950012,419.200012,413.350006,417.625,375.247284,4927386
